Set Name,Set ID,Total Cards,Total Estimated Value
"Darkness, and to Light...",377,113,0
Intro Pack Neo (Chikorita),428,30,0
Intro Pack Neo (Totodile),429,30,0
Neo Genesis,93,111,0
Neo Genesis 1st Edition,94,111,0
Awakening Legends,378,57,0
Gym Challenge,76,132,0
Gym Challenge 1st Edition,77,132,0
Gym Heroes,78,132,0
Gym Heroes 1st Edition,79,132,0
Crossing the Ruins...,379,56,0
Team Rocket,69,83,0
Team Rocket 1st Edition,70,83,0
Base Set 2,73,130,0
"Gold, Silver, to a New World...",380,96,0
Fossil,71,62,0
Fossil 1st Edition,72,62,0
Intro Pack (Bulbasaur),426,41,0
Intro Pack (Squirtle),427,41,0
Southern Islands Japanese,452,18,0
WOTC Promo,110,64,0
Challenge from the Darkness,381,98,0
Jungle,83,64,0
Jungle 1st Edition,84,64,0
Yamabuki City Gym Sabrina,497,25,0
Base Set Unlimited,27,101,0
Base Set Shadowless,29,102,0
Base Set 1st Edition,28,103,0
Vending Machine (Series 3),480,51,0
Leaders' Stadium,382,96,0
Kuchiba City Gym Lt. Surge,498,23,0
Tamamushi City Gym Erika,499,28,0
Vending Machine (Series 2),479,36,0
Hanada City Gym Misty,501,22,0
Nivi City Gym Brock,500,25,0
Vending Machine (Series 1),478,35,0
Rocket Gang,383,65,0
Mystery of the Fossils,384,48,0
Pokémon Jungle,385,48,0
Expansion Pack,386,102,0
Unnumbered Promos,470,6,0
