Set ID,Set Name,Set Code,Series,Language,Release Date,Total Cards,Total Value (Estimated),Average Card Value
567,Destined Rivals,,Scarlet & Violet,ENGLISH,"Fri, 30 May 2025 00:00:00 GMT",244,4599.354281746029,18.849812630106676
566,Glory of Team Rocket,sv10,Scarlet & Violet,JAPANESE,"Fri, 18 Apr 2025 00:00:00 GMT",132,1006.2168968253968,7.622855278980279
562,Journey Together,JTG,Scarlet & Violet,ENGLISH,"Fri, 28 Mar 2025 00:00:00 GMT",333,781.5199999999996,2.3469069069069057
560,Hot Air Arena,sv9a,Scarlet & Violet,JAPANESE,"Fri, 14 Mar 2025 00:00:00 GMT",92,807.3965850246976,8.776049837224974
558,Battle Partners,sv9,Scarlet & Violet,JAPANESE,"Fri, 24 Jan 2025 00:00:00 GMT",132,706.0949392587573,5.349204085293616
559,Mcdonald's Dragon Discovery,M24,Scarlet & Violet,ENGLISH,"Tue, 21 Jan 2025 00:00:00 GMT",15,10.320000000000002,0.6880000000000002
557,Prismatic Evolutions,PRE,Scarlet & Violet,ENGLISH,"Fri, 17 Jan 2025 00:00:00 GMT",447,6548.1,14.648993288590605
556,Terastal Festival ex,sv8a,Scarlet & Violet,JAPANESE,"Fri, 06 Dec 2024 00:00:00 GMT",525,2651.9563657314916,5.051345458536175
555,Surging Sparks,SSP,Scarlet & Violet,ENGLISH,"Fri, 08 Nov 2024 00:00:00 GMT",417,1250.489999999997,2.998776978417259
552,Super Electric Breaker,sv8,Scarlet & Violet,JAPANESE,"Fri, 18 Oct 2024 00:00:00 GMT",138,666.759991752692,4.831594143135449
550,Paradise Dragona,sv7a,Scarlet & Violet,JAPANESE,"Fri, 13 Sep 2024 00:00:00 GMT",94,413.1446695360194,4.395156058893823
549,Stellar Crown,,Scarlet & Violet,ENGLISH,"Fri, 13 Sep 2024 00:00:00 GMT",300,455.0900000000002,1.5169666666666672
554,Trick or Trade 2024,,Scarlet & Violet,ENGLISH,"Fri, 30 Aug 2024 00:00:00 GMT",30,5.519999999999998,0.1839999999999999
548,Shrouded Fable,,Scarlet & Violet,ENGLISH,"Fri, 02 Aug 2024 00:00:00 GMT",154,663.5500000000001,4.308766233766234
